iter	RMSE
662	15511.45998
663	15502.22266
664	15493.71698
665	15485.34967
666	15478.27572
667	15472.35637
668	15461.14821
669	15455.85955
670	15449.49707
671	15441.41334
672	15431.85579
673	15424.31944
674	15416.46876
675	15406.91271
676	15400.4946
677	15393.63318
678	15386.84449
679	15380.28105
680	15375.04479
681	15366.70573
682	15361.00126
683	15353.27556
684	15345.86471
685	15336.51512
686	15326.53452
687	15321.33494
688	15315.85734
689	15308.17821
690	15297.63652
691	15286.85869
692	15280.32808
693	15273.01506
694	15265.45575
695	15256.56673
696	15247.46344
697	15240.37246
698	15234.38307
699	15227.17175
700	15218.35062
701	15211.99707
702	15205.42734
703	15199.76792
704	15191.40122
705	15183.07464
706	15175.74111
707	15170.58733
708	15161.4757
709	15154.38595
710	15147.28639
711	15140.98156
712	15135.17706
713	15128.90652
714	15123.64794
715	15115.2513
716	15110.07361
717	15103.81861
718	15097.96651
719	15089.60055
720	15082.64781
721	15076.49621
722	15070.91167
723	15064.24368
724	15059.49463
725	15050.05437
726	15042.20063
727	15036.47605
728	15029.51923
729	15025.07579
730	15019.1408
731	15013.82994
732	15005.95083
733	14998.98525
734	14991.57337
735	14982.23912
736	14976.54591
737	14969.11104
738	14959.67885
739	14952.94619
740	14945.7011
741	14938.45598
742	14934.4426
743	14929.17673
744	14923.14025
745	14917.01858
746	14904.86372
747	14898.11984
748	14891.5977
749	14886.01722
750	14880.21048
751	14874.08884
752	14867.83087
753	14861.15441
754	14853.34411
755	14844.89555
756	14837.54384
757	14826.596
758	14818.20674
759	14813.05962
760	14804.87256
761	14797.8368
762	14791.69975
763	14787.46865
764	14781.63343
765	14775.73525
766	14770.83936
767	14763.51043
768	14757.55947
769	14749.75833
770	14744.49985
771	14738.55537
772	14731.45684
773	14723.98549
774	14717.87346
775	14709.66295
776	14704.37118
777	14698.52625
778	14693.33601
779	14688.26241
780	14683.16198
781	14677.92008
782	14672.51042
783	14666.19762
784	14658.28353
785	14650.60035
786	14644.41856
787	14638.78385
788	14633.49999
789	14624.10461
790	14618.48721
791	14609.82454
792	14604.82531
793	14599.41254
794	14594.03647
795	14588.8795
796	14584.35987
797	14579.76859
798	14573.39856
799	14565.85696
800	14560.08407
801	14554.70694
802	14548.88266
803	14542.25019
804	14535.65026
805	14531.00623
806	14525.61756
807	14519.19586
808	14515.23258
809	14508.85
810	14505.33349
811	14495.9485
812	14486.84491
813	14481.30909
814	14473.94456
815	14464.39434
816	14457.8647
817	14452.0953
818	14442.89643
819	14437.0692
820	14432.75226
821	14428.24333
822	14423.05086
823	14412.21184
824	14405.58256
825	14398.94792
826	14390.27691
827	14383.23835
828	14377.77645
829	14370.41474
830	14361.7764
831	14356.93341
832	14350.7093
833	14345.58466
834	14338.54
835	14330.37405
836	14324.82731
837	14318.43052
838	14312.82559
839	14308.69376
840	14304.06581
841	14298.10258
842	14291.2388
843	14282.5341
844	14277.58725
845	14271.9938
846	14267.31094
847	14262.26237
848	14258.93306
849	14251.13243
850	14244.44732
851	14238.2623
852	14230.67052
853	14225.65948
854	14220.94287
855	14215.79423
856	14208.49886
857	14202.93664
858	14198.12259
859	14192.36566
860	14187.80644
861	14183.49488
862	14178.11889
863	14171.18454
864	14166.7116
865	14160.86026
866	14152.78613
867	14147.65308
868	14141.77842
869	14135.94606
870	14129.78716
871	14123.97486
872	14118.93033
873	14114.47626
874	14109.66752
875	14104.99043
876	14100.35809
877	14093.99532
878	14089.54068
879	14083.5195
880	14078.25544
881	14072.7166
882	14067.74284
883	14064.52499
884	14059.43493
885	14056.05765
886	14051.18011
887	14046.25609
888	14040.44822
889	14034.71337
890	14029.50495
891	14023.05917
892	14017.8292
893	14013.83493
894	14008.39351
895	14002.04101
896	13996.90786
897	13992.09388
898	13986.39172
899	13982.62113
900	13975.99383
901	13973.30743
902	13966.52511
903	13959.46234
904	13953.11449
905	13948.78824
906	13944.6718
907	13936.2946
908	13930.62861
909	13922.47744
910	13917.68301
911	13911.63786
912	13904.82363
913	13899.75613
914	13893.10531
915	13889.47108
916	13885.6448
917	13881.16836
918	13876.71382
919	13872.22462
920	13867.28152
921	13863.58554
922	13858.50414
923	13852.5987
924	13847.10522
925	13840.78857
926	13837.18696
927	13833.98717
928	13824.62582
929	13820.28711
930	13815.74796
931	13810.54946
932	13805.07988
933	13798.34263
934	13792.43846
935	13787.08726
936	13783.129
937	13774.26774
938	13768.79074
939	13761.61281
940	13758.13885
941	13753.03857
942	13746.45148
943	13741.74676
944	13738.19145
945	13733.02528
946	13728.88704
947	13721.80816
948	13716.63351
949	13712.14011
