iter	Passed	Remaining
433	1400	1664
434	1402	1660
435	1404	1655
436	1406	1651
437	1411	1650
438	1426	1660
439	1429	1656
440	1431	1652
441	1434	1648
442	1438	1646
443	1495	1704
444	1519	1724
445	1522	1720
446	1524	1715
447	1527	1711
448	1529	1707
449	1532	1702
450	1536	1700
451	1539	1696
452	1541	1691
453	1544	1687
454	1547	1683
455	1550	1679
456	1553	1675
457	1555	1671
458	1558	1666
459	1561	1662
460	1563	1658
461	1566	1655
462	1569	1650
463	1572	1646
464	1574	1642
465	1576	1637
466	1580	1635
467	1583	1631
468	1586	1627
469	1590	1623
470	1593	1620
471	1598	1618
472	1600	1614
473	1603	1610
474	1606	1606
475	1610	1604
476	1613	1599
477	1616	1595
478	1634	1607
479	1637	1603
480	1639	1598
481	1643	1595
482	1646	1591
483	1648	1587
484	1651	1583
485	1653	1579
486	1656	1575
487	1659	1571
488	1662	1567
489	1664	1562
490	1667	1558
491	1669	1553
492	1671	1549
493	1674	1545
494	1676	1540
495	1678	1536
496	1680	1531
497	1682	1527
498	1684	1522
499	1687	1518
500	1689	1514
501	1691	1509
502	1693	1505
503	1696	1500
504	1698	1496
505	1700	1492
506	1703	1488
507	1705	1483
508	1707	1479
509	1709	1475
510	1712	1470
511	1714	1466
512	1716	1462
513	1718	1458
514	1720	1453
515	1723	1449
516	1724	1444
517	1727	1440
518	1729	1436
519	1732	1432
520	1734	1428
521	1736	1423
522	1738	1419
523	1740	1414
524	1742	1410
525	1744	1406
526	1747	1402
527	1749	1398
528	1752	1394
529	1754	1390
530	1757	1386
531	1761	1383
532	1764	1380
533	1766	1376
534	1768	1372
535	1771	1368
536	1773	1364
537	1776	1360
538	1778	1356
539	1788	1357
540	1791	1354
541	1794	1350
542	1796	1346
543	1798	1342
544	1800	1337
545	1802	1333
546	1804	1329
547	1806	1325
548	1809	1321
549	1811	1317
550	1813	1313
551	1815	1309
552	1817	1304
553	1819	1300
554	1821	1296
555	1824	1292
556	1826	1288
557	1828	1284
558	1830	1280
559	1832	1276
560	1834	1271
561	1836	1267
562	1838	1263
563	1841	1260
564	1843	1256
565	1845	1251
566	1847	1247
567	1849	1243
568	1851	1239
569	1853	1235
570	1856	1232
571	1858	1228
572	1860	1224
573	1862	1220
574	1864	1216
575	1867	1212
576	1870	1209
577	1872	1205
578	1874	1201
579	1876	1197
580	1878	1193
581	1880	1189
582	1883	1185
583	1885	1181
584	1887	1177
585	1889	1173
586	1891	1169
587	1893	1165
588	1895	1161
589	1897	1157
590	1900	1154
591	1903	1150
592	1905	1147
593	1922	1152
594	1940	1157
595	1943	1154
596	1946	1150
597	1949	1147
598	1952	1144
599	1956	1141
600	1959	1137
601	1963	1134
602	1995	1148
603	1998	1144
604	2001	1141
605	2004	1137
606	2007	1134
607	2011	1131
608	2013	1127
609	2015	1123
610	2018	1119
611	2020	1115
612	2022	1112
613	2025	1108
614	2028	1105
615	2031	1101
616	2034	1097
617	2036	1094
618	2039	1090
619	2042	1087
620	2046	1084
621	2048	1080
622	2051	1076
623	2054	1073
624	2057	1069
625	2059	1066
626	2062	1062
627	2064	1058
628	2066	1054
629	2069	1051
630	2071	1047
631	2073	1043
632	2075	1039
633	2077	1035
634	2079	1031
635	2081	1027
636	2084	1024
637	2087	1021
638	2090	1017
639	2092	1013
640	2094	1009
641	2097	1006
642	2100	1002
643	2102	999
644	2104	995
645	2107	991
646	2109	987
647	2112	984
648	2115	981
649	2117	977
650	2121	974
651	2124	970
652	2126	967
653	2129	963
654	2132	960
655	2134	956
656	2137	953
657	2139	949
658	2141	945
659	2145	942
660	2147	938
661	2149	935
662	2151	931
663	2153	927
664	2155	923
665	2157	920
666	2160	916
667	2162	912
668	2164	909
669	2167	905
670	2169	901
671	2171	898
672	2174	894
673	2177	891
674	2179	887
675	2181	884
676	2183	880
677	2186	877
678	2188	873
679	2191	870
680	2193	866
681	2195	862
682	2198	859
683	2200	855
684	2202	852
685	2204	848
686	2206	844
687	2208	841
688	2211	837
689	2213	834
690	2215	830
691	2217	826
692	2219	823
693	2222	819
694	2224	816
695	2226	812
696	2228	808
697	2230	805
698	2232	801
699	2234	798
700	2237	794
701	2239	791
702	2242	787
703	2244	784
704	2248	781
705	2250	777
706	2252	774
707	2264	774
708	2271	772
709	2277	769
710	2309	776
711	2312	773
712	2315	769
713	2318	766
714	2321	763
715	2324	759
716	2328	756
717	2331	753
718	2334	749
719	2337	746
720	2341	743
721	2343	740
722	2347	736
723	2350	733
724	2353	730
725	2356	727
726	2358	723
727	2361	720
728	2363	716
729	2367	713
730	2370	710
731	2374	707
732	2376	703
733	2378	700
734	2382	696
735	2385	693
736	2387	690
737	2390	686
738	2393	683
739	2397	680
740	2399	676
741	2402	673
742	2404	669
743	2406	666
744	2409	663
745	2412	659
746	2414	656
747	2416	652
748	2419	649
749	2424	646
750	2427	643
751	2429	639
752	2431	636
753	2433	632
754	2435	629
755	2438	625
756	2440	622
757	2442	618
758	2444	615
759	2446	611
760	2448	608
761	2450	604
762	2452	601
763	2455	597
764	2458	594
765	2460	591
766	2462	587
767	2464	583
768	2466	580
769	2468	577
770	2471	573
771	2473	570
772	2476	567
773	2478	563
774	2480	560
775	2483	556
776	2485	553
777	2487	549
778	2489	546
779	2492	543
780	2494	539
781	2496	536
782	2502	533
783	2505	530
784	2507	527
785	2510	523
786	2512	520
787	2516	517
788	2518	513
789	2520	510
790	2523	507
791	2525	503
792	2529	500
793	2532	497
794	2534	494
795	2537	490
796	2539	487
797	2541	484
798	2545	481
799	2548	477
800	2550	474
801	2553	471
802	2556	468
803	2560	464
804	2563	461
805	2565	458
806	2568	455
807	2574	452
808	2577	449
809	2580	446
810	2583	442
811	2601	442
812	2616	440
813	2619	437
814	2622	434
815	2628	431
816	2631	428
817	2634	425
818	2637	421
819	2641	418
820	2644	415
821	2657	413
822	2660	410
823	2663	407
824	2666	403
825	2668	400
826	2672	397
827	2675	394
828	2677	390
829	2679	387
830	2682	384
831	2685	380
832	2689	377
833	2692	374
834	2695	371
835	2700	368
836	2704	365
837	2707	361
838	2710	358
839	2712	355
840	2717	352
841	2721	349
842	2723	345
843	2726	342
844	2733	339
845	2735	336
846	2739	333
847	2742	329
848	2748	326
849	2750	323
850	2752	320
851	2763	317
852	2765	314
853	2768	311
854	2771	307
855	2776	304
856	2778	301
857	2781	298
858	2783	294
859	2786	291
860	2789	288
861	2792	285
862	2794	281
863	2797	278
864	2799	275
865	2802	271
866	2806	268
867	2809	265
868	2811	262
869	2814	258
870	2816	255
871	2820	252
872	2823	248
873	2825	245
874	2828	242
875	2830	239
876	2832	235
877	2835	232
878	2837	229
879	2839	225
880	2841	222
881	2844	219
882	2846	216
883	2851	212
884	2855	209
885	2858	206
886	2861	203
887	2867	200
888	2869	196
889	2872	193
890	2875	190
891	2879	187
892	2894	184
893	2937	183
894	2940	180
895	2945	177
896	2948	174
897	2951	170
898	2954	167
899	2958	164
900	2963	161
901	2991	159
902	2996	155
903	2999	152
904	3002	149
905	3006	146
906	3010	142
907	3014	139
908	3017	136
909	3033	133
910	3038	130
911	3041	126
912	3047	123
913	3049	120
914	3052	116
915	3055	113
916	3058	110
917	3060	106
918	3062	103
919	3066	100
920	3069	96
921	3073	93
922	3080	90
923	3083	86
924	3098	83
925	3104	80
926	3106	77
927	3110	73
928	3114	70
929	3117	67
930	3119	63
931	3121	60
932	3123	56
933	3127	53
934	3129	50
935	3132	46
936	3134	43
937	3136	40
938	3138	36
939	3141	33
940	3144	30
941	3146	26
942	3148	23
943	3151	20
944	3152	16
945	3155	13
946	3158	10
947	3160	6
948	3163	3
949	3165	0
