iter	Passed	Remaining
438	1380	1607
439	1383	1603
440	1385	1599
441	1387	1595
442	1390	1590
443	1392	1586
444	1394	1582
445	1396	1577
446	1398	1574
447	1401	1569
448	1403	1565
449	1405	1561
450	1407	1557
451	1409	1553
452	1412	1549
453	1414	1545
454	1416	1541
455	1418	1537
456	1421	1533
457	1424	1529
458	1426	1526
459	1430	1523
460	1433	1520
461	1435	1516
462	1438	1512
463	1440	1508
464	1444	1506
465	1446	1502
466	1448	1498
467	1450	1494
468	1452	1490
469	1454	1485
470	1458	1482
471	1460	1478
472	1462	1474
473	1464	1470
474	1466	1466
475	1468	1462
476	1470	1458
477	1473	1454
478	1475	1450
479	1477	1446
480	1479	1442
481	1481	1438
482	1483	1434
483	1486	1430
484	1489	1427
485	1491	1424
486	1494	1420
487	1496	1416
488	1498	1413
489	1501	1409
490	1504	1406
491	1506	1402
492	1508	1398
493	1510	1394
494	1513	1390
495	1515	1386
496	1517	1383
497	1520	1379
498	1522	1376
499	1524	1372
500	1527	1368
501	1529	1365
502	1531	1361
503	1534	1357
504	1536	1354
505	1538	1350
506	1541	1346
507	1543	1342
508	1545	1339
509	1549	1336
510	1551	1332
511	1553	1329
512	1555	1325
513	1558	1321
514	1560	1318
515	1565	1316
516	1567	1313
517	1570	1309
518	1572	1305
519	1574	1302
520	1577	1299
521	1580	1295
522	1582	1292
523	1586	1290
524	1589	1287
525	1592	1283
526	1594	1280
527	1596	1276
528	1598	1272
529	1600	1268
530	1602	1264
531	1604	1260
532	1608	1258
533	1610	1254
534	1611	1250
535	1613	1246
536	1615	1242
537	1617	1238
538	1620	1235
539	1623	1232
540	1625	1228
541	1627	1225
542	1629	1221
543	1631	1217
544	1633	1213
545	1636	1210
546	1638	1207
547	1640	1203
548	1643	1200
549	1645	1196
550	1647	1193
551	1649	1189
552	1652	1186
553	1654	1182
554	1657	1179
555	1659	1175
556	1661	1172
557	1663	1168
558	1665	1165
559	1668	1162
560	1670	1158
561	1672	1154
562	1674	1151
563	1677	1148
564	1680	1144
565	1682	1141
566	1685	1138
567	1687	1135
568	1690	1131
569	1692	1128
570	1695	1125
571	1699	1122
572	1701	1119
573	1703	1115
574	1705	1112
575	1707	1108
576	1709	1105
577	1714	1103
578	1716	1099
579	1717	1095
580	1719	1092
581	1721	1088
582	1724	1085
583	1727	1082
584	1729	1079
585	1732	1076
586	1735	1073
587	1737	1069
588	1771	1085
589	1775	1083
590	1778	1080
591	1781	1077
592	1784	1074
593	1787	1071
594	1792	1069
595	1797	1067
596	1801	1065
597	1843	1084
598	1845	1081
599	1848	1078
600	1851	1075
601	1856	1073
602	1859	1070
603	1862	1066
604	1865	1063
605	1869	1061
606	1872	1057
607	1876	1055
608	1879	1052
609	1884	1050
610	1887	1046
611	1889	1043
612	1892	1040
613	1895	1037
614	1898	1034
615	1901	1031
616	1903	1027
617	1906	1024
618	1909	1020
619	1912	1017
620	1914	1014
621	1916	1010
622	1919	1007
623	1924	1005
624	1929	1003
625	1932	1000
626	1934	996
627	1936	992
628	1938	989
629	1940	985
630	1945	983
